0.4799998, 0, 0, 15.85059, 4.529256, 0, 476.2803, -1272.454, -5.798054, 0.01928791, 0.1567104, 27.89206, 2.92007, 2.680418, 106.8379
0.7399996, -0.02761566, -0.005796177, 22.92645, 4.818198, 0.5433170765487072736613020025, 1216.179, -1274.147, -5.798054, 0.01928791, 0.1567104, 44.58756, 2.92007, 2.676475, 107.6098
 
0.7499996, -0.0279264, -0.006072334, 23.20872, 4.829165, 0.53428687764400498700568, 1252.81, -1274.213, -5.798054, 0.01928791, 0.1567104, 45.25489, 2.92007, 2.676323, 107.6395
 
0.7599996, -0.02823258, -0.006351598, 23.49219, 4.84058, 0.52545865194035293900182, 1290.087, -1274.279, -5.798054, 0.01928791, 0.1567104, 45.92409, 2.92007, 2.676171, 107.6692
 
0.7699996, -0.02853398, -0.006633923, 23.77688, 4.852435, 0.5168232337171221333018379975, 1328.019, -1274.344, -5.798054, 0.01928791, 0.1567104, 46.59522, 2.92007, 2.67602, 107.6989
 
0.7799996, -0.02883051, -0.006919263, 24.06145, 4.863421, 0.5083724392951732243283620025, 1366.606, -1274.41, -5.798054, 0.01928791, 0.1567104, 47.2682, 2.92007, 2.675868, 107.7286
 
0.7899995, -0.02912173, -0.007207568, 24.34767, 4.87529, 0.5000972120696044712655779975, 1405.853, -1274.476, -5.798054, 0.01928791, 0.1567104, 47.94307, 2.92007, 2.675716, 107.7583
 
0.7999995, -0.02940765, -0.007498785, 24.63377, 4.886285, 0.4919913324442645593348820025, 1445.765, -1274.542, -5.798054, 0.01928791, 0.1567104, 48.61982, 2.92007, 2.675565, 107.788
 
0.8099995, -0.02968807, -0.007792862, 24.92111, 4.897726, 0.48404770789724414314810, 1486.35, -1274.608, -5.798054, 0.01928791, 0.1567104, 49.2985, 2.92007, 2.675413, 107.8177
 
0.8199995, -0.02996254, -0.008089743, 25.20963, 4.909612, 0.4762580456336809862246620025, 1527.608, -1274.674, -5.798054, 0.01928791, 0.1567104, 49.97903, 2.92007, 2.675261, 107.8474
 
0.8299995, -0.03023108, -0.008389368, 25.49805, 4.920624, 0.4686168898674883747372220025, 1569.546, -1274.74, -5.798054, 0.01928791, 0.1567104, 50.66148, 2.92007, 2.67511, 107.877
 
0.8399995, -0.03049336, -0.008691679, 25.78814, 4.932522, 0.46111769365535832392698, 1612.171, -1274.806, -5.798054, 0.01928791, 0.1567104, 51.34586, 2.92007, 2.674958, 107.9067
 
0.8499995, -0.03074911, -0.008996612, 26.07856, 4.943985, 0.4537533644753705768335820025, 1655.486, -1274.872, -5.798054, 0.01928791, 0.1567104, 52.03215, 2.92007, 2.674806, 107.9364
 
0.8599995, -0.03099806, -0.009304103, 26.36975, 4.955453, 0.44651877388860491002484, 1699.493, -1274.938, -5.798054, 0.01928791, 0.1567104, 52.72032, 2.92007, 2.674655, 107.9661
 
0.8699995, -0.03124014, -0.009614084, 26.66171, 4.966928, 0.43941043019196045815774, 1744.199, -1275.004, -5.798054, 0.01928791, 0.1567104, 53.41039, 2.92007, 2.674503, 107.9958
 
0.8799995, -0.03147493, -0.009926485, 26.95491, 4.978848, 0.43242047705346873067894, 1789.613, -1275.07, -5.798054, 0.01928791, 0.1567104, 54.10243, 2.92007, 2.674351, 108.0255
 
0.8899994, -0.03170227, -0.01024123, 27.24843, 4.990336, 0.42554520453858853622512, 1835.733, -1275.137, -5.798054, 0.01928791, 0.1567104, 54.79634, 2.92007, 2.6742, 108.0552
 
0.8999994, -0.03192189, -0.01055826, 27.54271, 5.001826, 0.4187809027127775922757420025, 1882.565, -1275.203, -5.798054, 0.01928791, 0.1567104, 55.49216, 2.92007, 2.674048, 108.0849
 
0.9099994, -0.03213358, -0.01087748, 27.83779, 5.013325, 0.41212178844278378576552, 1930.117, -1275.269, -5.798054, 0.01928791, 0.1567104, 56.18992, 2.92007, 2.673896, 108.1146
 
0.9199994, -0.03233697, -0.01119881, 28.1341, 5.025269, 0.4055634970997329445408179975, 1978.396, -1275.336, -5.798054, 0.01928791, 0.1567104, 56.88964, 2.92007, 2.673745, 108.1442
 
0.9299994, -0.03253181, -0.01152218, 28.43072, 5.036777, 0.39910210051763809543192, 2027.4, -1275.402, -5.798054, 0.01928791, 0.1567104, 57.59124, 2.92007, 2.673593, 108.1739
 
0.9399994, -0.03271786, -0.0118475, 28.72857, 5.048733, 0.3927345434562932101802579975, 2077.137, -1275.469, -5.798054, 0.01928791, 0.1567104, 58.29477, 2.92007, 2.673441, 108.2036
 
0.9499994, -0.03289487, -0.01217468, 29.02677, 5.060253, 0.38645558836104753634992, 2127.615, -1275.535, -5.798054, 0.01928791, 0.1567104, 59.00026, 2.92007, 2.67329, 108.2333
 
0.9599994, -0.03306257, -0.01250363, 29.3262, 5.07222, 0.3802628346860247530010, 2178.839, -1275.602, -5.798054, 0.01928791, 0.1567104, 59.70771, 2.92007, 2.673138, 108.263
 
0.9699994, -0.03322058, -0.01283425, 29.62596, 5.083752, 0.3741519178023528702942979975, 2230.808, -1275.668, -5.798054, 0.01928791, 0.1567104, 60.41708, 2.92007, 2.672987, 108.2927
 
0.9799994, -0.0333687, -0.01316646, 29.9265, 5.095288, 0.3681202189327043296974220025, 2283.533, -1275.735, -5.798054, 0.01928791, 0.1567104, 61.1284, 2.92007, 2.672835, 108.3224
 
0.9899994, -0.03350668, -0.01350015, 30.22874, 5.107716, 0.36216544664692788348810, 2337.02, -1275.801, -5.798054, 0.01928791, 0.1567104, 61.84172, 2.92007, 2.672683, 108.3521
 
